CardholderName,CardNumber,Mobile,Merchant,Amount,Latitude,Longitude,OTP,FraudProbability,Status
Karthik Rao,4532398874770473,9807254989,DMart,61935,22.759352,82.805102,603509,0.34,SAFE
Kiran Kumar,4532718060057220,9098627640,Flipkart India,48632,18.02777,85.497681,922512,0.76,FRAUD
Ravi Kumar,4532628642731216,9318678439,BigBasket,94712,12.897568,86.576448,340646,0.6,SAFE
Karthik Rao,4532341698616843,9627188180,Flipkart India,17113,21.259393,84.987973,762354,0.26,SAFE
Swathi Rani,4532449586389679,9950838271,Amazon India,83875,24.373909,83.050213,585100,0.46,SAFE
Mahesh Babu,4532484319330854,9471671101,Flipkart India,81081,16.186534,74.232209,257061,0.63,SAFE
Vadde Ramya,4532381255379355,9022855830,Reliance Digital,64100,27.992209,78.819813,468053,0.76,FRAUD
Karthik Rao,4532303483882214,9948618934,Reliance Digital,25351,13.408291,82.689071,981199,0.45,SAFE
Mahesh Babu,4532651785657624,9494251798,BigBasket,42024,16.516826,86.995876,383066,0.35,SAFE
Swathi Rani,4532033032021827,9829582929,Reliance Digital,99584,27.647014,85.181292,654040,0.04,SAFE
Divya Patel,4532466312772635,9719758696,BigBasket,2032,11.491008,81.274921,157252,0.06,SAFE
Mahesh Babu,4532284905805411,9332025593,Flipkart India,69018,16.701696,79.436649,781456,0.81,FRAUD
Rahul Varma,4532469623110209,9734985670,Flipkart India,84473,24.663545,77.995196,599089,0.65,SAFE
Lakshmi Priya,4532382337593567,9061732278,Reliance Digital,53584,25.596152,86.13955,164063,0.21,SAFE
Divya Patel,4532435200894190,9781052708,Myntra,98668,19.29843,73.489737,191906,0.59,SAFE
Kiran Kumar,4532422328423930,9931781417,Myntra,95571,17.565835,87.467492,705340,0.56,SAFE
Arjun Reddy,4532170620691871,9099257261,Myntra,32119,15.834206,80.788282,843138,0.59,SAFE
Arjun Reddy,4532944229789712,9342076637,Amazon India,88451,18.076296,75.330168,578925,0.64,SAFE
Kiran Kumar,4532256584306615,9129636388,Reliance Digital,61155,19.985844,72.404644,363597,0.89,FRAUD
Ravi Kumar,4532005189721905,9662015299,Amazon India,49030,22.981669,78.003221,188737,0.4,SAFE
Anitha Devi,4532925531906819,9826254550,Amazon India,80866,21.675784,76.882132,122250,0.39,SAFE
Rahul Varma,4532662181187625,9210955704,Amazon India,57408,19.055676,75.73841,730834,0.47,SAFE
Neha Gupta,4532414898779840,9454476255,Reliance Digital,14282,24.82703,72.703311,723747,0.08,SAFE
Rajesh Naidu,4532607395222518,9858125023,Amazon India,58781,13.174056,83.779187,827985,0.02,SAFE
Lakshmi Priya,4532008952427524,9339671841,BigBasket,28534,12.170774,80.916609,763481,0.57,SAFE
Rajesh Naidu,4532730202311454,9163184197,Myntra,19571,25.100992,77.598294,968696,0.91,FRAUD
Arjun Reddy,4532653291913315,9313006210,Flipkart India,30195,13.138774,80.609252,169645,0.33,SAFE
Rajesh Naidu,4532558393667696,9904373327,Flipkart India,2004,12.439618,76.406067,953722,0.81,FRAUD
Swathi Rani,4532415949714280,9308910653,BigBasket,34313,14.303815,78.71934,484549,0.18,SAFE
Vadde Ramya,4532295745082132,9596457776,DMart,6963,27.099132,76.080258,833459,0.45,SAFE
Lakshmi Priya,4532857320132782,9826804577,Flipkart India,95617,15.696031,83.196298,842008,0.74,FRAUD
Ravi Kumar,4532632935542979,9699236672,Myntra,53523,11.43703,87.6825,869265,0.36,SAFE
Ravi Kumar,4532215057460315,9514057477,DMart,89726,26.934494,78.275478,984601,0.5,SAFE
Ravi Kumar,4532509548313035,9513761583,Myntra,28637,13.297457,87.978305,802424,0.1,SAFE
Divya Patel,4532373057655751,9190136799,BigBasket,6356,22.598279,80.853957,178061,0.37,SAFE
Anitha Devi,4532025161065454,9661367283,Amazon India,62775,16.358717,84.601374,437234,0.06,SAFE
Rahul Varma,4532288342581446,9833715631,Flipkart India,86840,25.856587,76.384347,264356,0.03,SAFE
Neha Gupta,4532125765429039,9338014797,Amazon India,99782,15.052153,76.45387,120024,0.73,FRAUD
Divya Patel,4532815580561586,9132577486,Flipkart India,45638,15.909356,86.61395,981825,0.48,SAFE
Suresh Reddy,4532409461610112,9444112374,Reliance Digital,77561,18.625953,85.826595,270811,0.17,SAFE
Arjun Reddy,4532418235118084,9234184032,Myntra,87129,23.246647,87.231323,782296,0.7,SAFE
Arjun Reddy,4532468260874192,9977488030,Myntra,61106,19.773712,73.145343,138881,0.32,SAFE
Vadde Ramya,4532696891115884,9831998788,Reliance Digital,47582,14.705932,84.172102,754140,0.53,SAFE
Pooja Sharma,4532260113898238,9055494082,Myntra,29165,21.443716,85.266886,375928,0.52,SAFE
Divya Patel,4532088044176515,9338493698,DMart,59080,11.255047,77.903103,434452,0.17,SAFE
Suresh Reddy,4532937444722095,9015606844,Myntra,66239,25.731389,87.819118,419357,0.42,SAFE
Anitha Devi,4532589838811380,9967198144,Reliance Digital,31611,25.187244,75.572948,305736,0.64,SAFE
Rajesh Naidu,4532768454622501,9992171013,DMart,98536,13.553744,78.818891,579330,0.93,FRAUD
Neha Gupta,4532392131000559,9039731638,Amazon India,81407,15.502494,84.644368,837340,0.19,SAFE
Ravi Kumar,4532619065385421,9499771496,Myntra,10588,27.561874,87.163349,928847,0.7,SAFE
Swathi Rani,4532677528127297,9430384400,BigBasket,49195,25.128806,74.332008,281619,0.29,SAFE
Lakshmi Priya,4532035951662374,9371524984,DMart,34277,19.616858,72.729102,602855,0.52,SAFE
Arjun Reddy,4532709320536886,9290589767,Reliance Digital,31930,24.350151,85.389149,914679,0.22,SAFE
Anitha Devi,4532317996980442,9133905968,Flipkart India,44381,18.967234,75.646404,596201,0.76,FRAUD
Suresh Reddy,4532613369244623,9701466876,DMart,19325,25.662787,76.651258,541749,0.04,SAFE
Rajesh Naidu,4532112523719541,9610175541,Myntra,4188,21.626702,82.059252,163824,0.35,SAFE
Divya Patel,4532052897563531,9358556046,DMart,76428,18.777184,74.311237,121286,0.54,SAFE
Rahul Varma,4532230132800166,9245778328,Reliance Digital,4426,19.467711,82.162252,814668,0.62,SAFE
Karthik Rao,4532155677398602,9544635045,DMart,8076,15.009306,84.6423,341721,0.51,SAFE
Ravi Kumar,4532459569897962,9243464808,Myntra,21185,23.780404,87.433096,758159,0.57,SAFE
Lakshmi Priya,4532782162420371,9138132972,Reliance Digital,85064,16.402364,72.117309,740807,0.26,SAFE
Neha Gupta,4532704792401966,9774288154,Amazon India,65755,21.047641,87.197965,802597,0.94,FRAUD
Swathi Rani,4532370319119623,9190851344,BigBasket,93985,16.167117,84.981675,832777,0.75,FRAUD
Mahesh Babu,4532032835243909,9594500801,Amazon India,59946,27.428142,86.399891,277682,0.87,FRAUD
Suresh Reddy,4532141249587966,9976326704,BigBasket,74654,19.858765,73.927866,449464,0.88,FRAUD
Lakshmi Priya,4532574740770859,9473526885,Myntra,64715,15.386919,75.561199,165143,0.47,SAFE
Kiran Kumar,4532169377570617,9870002770,Amazon India,42703,21.779696,72.239662,280123,0.89,FRAUD
Suresh Reddy,4532199184647109,9050833181,Amazon India,39073,13.373884,73.367275,933964,0.87,FRAUD
Mahesh Babu,4532997887689704,9390694729,Flipkart India,55680,16.086256,76.664742,379652,0.18,SAFE
Arjun Reddy,4532348623023981,9397755626,DMart,64112,22.26939,83.812998,983191,0.02,SAFE
Arjun Reddy,4532703924883980,9282558661,BigBasket,84419,19.672351,86.853728,348477,0.34,SAFE
Neha Gupta,4532150940137024,9364258999,DMart,40753,14.717821,87.446925,807090,0.16,SAFE
Ravi Kumar,4532254932675898,9200393046,Myntra,94318,18.925286,82.144478,867359,0.01,SAFE
Pooja Sharma,4532579036569917,9207490644,Amazon India,96048,21.484844,77.78867,838868,0.14,SAFE
Vadde Ramya,4532504529174747,9494550353,BigBasket,87337,25.536465,78.102445,609667,0.63,SAFE
Anitha Devi,4532117935560051,9335398085,Amazon India,51884,21.200471,77.58539,664758,0.07,SAFE
Anitha Devi,4532279548546815,9201898230,BigBasket,84067,18.573332,81.670622,111574,0.73,FRAUD
Anitha Devi,4532074922372793,9518997071,Myntra,52787,15.302675,76.807198,301337,0.85,FRAUD
Karthik Rao,4532751137147960,9790603073,Flipkart India,99112,19.540641,73.483914,178195,0.27,SAFE
Suresh Reddy,4532029681437448,9789209323,BigBasket,90949,27.501155,81.528507,700045,0.43,SAFE
Karthik Rao,4532156000353419,9315426767,BigBasket,62999,21.465362,76.658725,159537,0.35,SAFE
Kiran Kumar,4532327146188909,9241705589,BigBasket,86596,26.677649,79.092442,161288,0.61,SAFE
Kiran Kumar,4532112856831278,9264892699,DMart,79286,18.93483,85.047596,856378,0.85,FRAUD
Mahesh Babu,4532171572778315,9722474676,DMart,40138,17.604775,86.179784,234779,0.29,SAFE
Suresh Reddy,4532320180766471,9412749160,Flipkart India,80967,23.404439,76.343221,351675,0.65,SAFE
Vadde Ramya,4532836048412260,9469371739,DMart,7779,15.220197,74.513543,230016,0.36,SAFE
Rajesh Naidu,4532490162155490,9310561257,Myntra,86830,25.212577,81.588504,677467,0.31,SAFE
Anitha Devi,4532900794529479,9724667036,BigBasket,4156,26.867421,84.611141,582611,0.13,SAFE
Arjun Reddy,4532501607643875,9473651485,Reliance Digital,21803,21.304502,74.486015,662654,0.78,FRAUD
Rahul Varma,4532358532985039,9618651975,BigBasket,34008,23.234398,85.177881,654482,0.21,SAFE
Rajesh Naidu,4532475122029651,9685885640,Reliance Digital,81337,24.51376,84.063944,917181,0.4,SAFE
Karthik Rao,4532318911431238,9286233892,Amazon India,72378,15.111619,81.26637,477879,0.45,SAFE
Mahesh Babu,4532242919241281,9524178365,BigBasket,52282,19.315078,79.164343,815237,0.24,SAFE
Swathi Rani,4532211909985835,9724180985,Amazon India,90785,14.517461,74.389408,915133,0.05,SAFE
Lakshmi Priya,4532951858497168,9446957306,Myntra,94995,23.239676,84.546802,939285,0.09,SAFE
Kiran Kumar,4532713521666276,9276593063,DMart,19887,26.086934,78.162331,791137,0.95,FRAUD
Divya Patel,4532868398497197,9740843424,BigBasket,16718,21.825723,80.322937,176712,0.35,SAFE
Kiran Kumar,4532398249316718,9375147196,BigBasket,42556,19.536256,76.311605,555236,0.23,SAFE
Divya Patel,4532302748547744,9430584972,Flipkart India,37696,21.903213,74.92845,493334,0.41,SAFE
Kiran Kumar,4532884170896778,9750660590,Reliance Digital,57452,24.38052,87.917534,566249,0.34,SAFE
